id,domain_intent,sentence
0,$$AskCurrentPosition#AskCurrentPosition,我現在位置在哪裡
30,$$AskCurrentPosition#AskCurrentPosition,現在我在哪裡
36,$$AskCurrentPosition#AskCurrentPosition,你知道我現在位置嗎
41,$$AskCurrentPosition#AskCurrentPosition,我現在位置
44,$$AskCurrentPosition#AskCurrentPosition,我現在的位置
57,$$AskCurrentPosition#AskCurrentPosition,位置搜尋
100,$$AskCurrentPosition#AskCurrentPosition,我的位置在哪裡
103,$$AskCurrentPosition#AskCurrentPosition,你知道我在哪裡嗎
109,$$AskCurrentPosition#AskCurrentPosition,你知道我在哪裡
112,$$AskCurrentPosition#AskCurrentPosition,你要說出來我在哪裡
125,$$AskCurrentPosition#AskCurrentPosition,我現在的位置在哪
142,$$AskCurrentPosition#AskCurrentPosition,可以幫我看現在這裡是哪裡
146,$$AskCurrentPosition#AskCurrentPosition,現在位置
152,$$AskCurrentPosition#AskCurrentPosition,呃那現在在哪裡
156,$$AskCurrentPosition#AskCurrentPosition,告訴我現在位置
164,$$AskCurrentPosition#AskCurrentPosition,現在的位置在哪裡請說明
166,$$AskCurrentPosition#AskCurrentPosition,哇嗚我現在在哪裡
167,$$AskCurrentPosition#AskCurrentPosition,哇噢我的現在位置在哪裡
184,$$AskCurrentPosition#AskCurrentPosition,哈現在位置
201,$$AskCurrentPosition#AskCurrentPosition,噢我在哪裡
202,$$AskCurrentPosition#AskCurrentPosition,噢你好我現在的位置在哪裡
208,$$AskCurrentPosition#AskCurrentPosition,我人現在的位置在哪裡
217,$$AskCurrentPosition#AskCurrentPosition,好吧我現在在哪裡
251,$$AskCurrentPosition#AskCurrentPosition,幫我查我現在的位置
278,$$AskCurrentPosition#AskCurrentPosition,我們現在位置在哪裡
281,$$AskCurrentPosition#AskCurrentPosition,我們現在在哪裡
299,$$AskCurrentPosition#AskCurrentPosition,我在哪裡
302,$$AskCurrentPosition#AskCurrentPosition,我在哪
366,$$AskCurrentPosition#AskCurrentPosition,我現在位置在哪裡呢
373,$$AskCurrentPosition#AskCurrentPosition,我現在位置在哪
405,$$AskCurrentPosition#AskCurrentPosition,我現在在哪裡
425,$$AskCurrentPosition#AskCurrentPosition,我現在在哪位置
446,$$AskCurrentPosition#AskCurrentPosition,我現在的位置在那裏
496,$$AskCurrentPosition#AskCurrentPosition,我的位置訊息
499,$$AskCurrentPosition#AskCurrentPosition,我的所在地
510,$$AskCurrentPosition#AskCurrentPosition,我目前所在位置是哪裡
516,$$AskCurrentPosition#AskCurrentPosition,我這裡是哪裡
548,$$AskCurrentPosition#AskCurrentPosition,抱歉我現在的位置在哪裡
566,$$AskCurrentPosition#AskCurrentPosition,我是在哪裡
618,$$AskCurrentPosition#AskCurrentPosition,現在位置是
732,$$AskCurrentPosition#AskCurrentPosition,現在位置附近的地標
747,$$AskCurrentPosition#AskCurrentPosition,現在大概在哪裡啊
788,$$AskCurrentPosition#AskCurrentPosition,現在的位置在哪兒
798,$$AskCurrentPosition#AskCurrentPosition,現在的位置是哪裡
817,$$AskCurrentPosition#AskCurrentPosition,現在這是哪裡
818,$$AskCurrentPosition#AskCurrentPosition,現在這裡是哪裡
821,$$AskCurrentPosition#AskCurrentPosition,還有我在哪裡
829,$$AskCurrentPosition#AskCurrentPosition,目前在的位置在哪裡呢
843,$$AskCurrentPosition#AskCurrentPosition,確定現在的位置
845,$$AskCurrentPosition#AskCurrentPosition,結果我現在在哪裡
854,$$AskCurrentPosition#AskCurrentPosition,求問這是哪裡
855,$$AskCurrentPosition#AskCurrentPosition,而我在哪裡
870,$$AskCurrentPosition#AskCurrentPosition,而現在位置是
873,$$AskCurrentPosition#AskCurrentPosition,而現在位置
875,$$AskCurrentPosition#AskCurrentPosition,而現在的位置
889,$$AskCurrentPosition#AskCurrentPosition,至於現在在哪裡
897,$$AskCurrentPosition#AskCurrentPosition,判斷現在位置
906,$$AskCurrentPosition#AskCurrentPosition,請問一下這是哪裡呀
908,$$AskCurrentPosition#AskCurrentPosition,請問我現在在哪裡
911,$$AskCurrentPosition#AskCurrentPosition,請問在哪裡
925,$$AskCurrentPosition#AskCurrentPosition,請問我現在的位置在哪裡
941,$$AskCurrentPosition#AskCurrentPosition,請問現在所在地在哪裡
959,$$AskCurrentPosition#AskCurrentPosition,目前在的位置在哪裡
990,$$AskCurrentPosition#AskCurrentPosition,這裡是什麼地方
1000,$$AskCurrentPosition#AskCurrentPosition,定位我自己現在位置
1014,$$AskCurrentPosition#AskCurrentPosition,還有我這裡是哪裡
1038,$$AskCurrentPosition#AskCurrentPosition,那我的位置
1048,$$AskCurrentPosition#AskCurrentPosition,那這是哪裡的地圖啊
1057,$$AskCurrentPosition#AskCurrentPosition,啊啊啊我在哪裡
1065,$$AskCurrentPosition#AskCurrentPosition,救命現在在哪裡
1077,$$AskTwDate#AskTWDate,二零零六年八月六號是農曆幾月幾日
1082,$$AskTwDate#AskTWDate,今天是幾月幾號
1089,$$AskTwDate#AskTWDate,一月十三號是星期幾
1090,$$AskTwDate#AskTWDate,一月十八十九星期幾
1091,$$AskTwDate#AskTWDate,七夕情人節幾號
1099,$$AskTwDate#AskTWDate,三月七號是農曆幾號
1112,$$AskTwDate#AskTWDate,下禮拜二是幾月幾號
1118,$$AskTwDate#AskTWDate,中元節是幾號
1123,$$AskTwDate#AskTWDate,中秋節星期幾
1129,$$AskTwDate#AskTWDate,九月二十五號是禮拜幾
1130,$$AskTwDate#AskTWDate,二月一號是什麼時候
