label,sentence
$$Weather,明天 氣溫 幾度
$$Other,我想要買 聚陽
$$Weather,新店 五一 勞動節 的 天氣 適合 出去玩 嗎
$$Weather,明天 下午 宜蘭 的 降雨 機率 有多少
$$Other,我想要查 南台灣 的 旅遊景點
$$Other,台中 哪裡有 ibike 的 站
$$Other,台南市 平通路 附近有 醫院 嗎
$$Weather,外面 雨 會 下 多久
$$Weather,明天 天氣 適合 穿 什麼 衣服 出門
$$Weather,請問 今天天氣 幾度
$$Weather,今天 新店 出太陽 嗎
$$Weather,未來 一周 新店 的 天氣
$$Weather,晚上 會 停 雨 嗎
$$Other,想要 問 明 報 社會新聞 裡 有 柯文哲 嗎
$$Other,九月 三十 晚上 兩點 十六分 桃園站 發 車 到 左營站 標準 來回 高鐵 票
$$Other,我想 帶小孩 去 威秀 看 普遍 級 電影 求 推薦
$$Other,搞 錯了
$$Weather,明天 會 很熱 嗎
$$Other,有 推薦 那些 橡膠 股 嗎
$$Other,最近 期貨 狀況 如何
$$Weather,晚上 會 下大雨 嗎
$$Weather,晚點 下雨 騎車 會不會 很 危險
$$Weather,今天 大概 幾度
$$Weather,後天 東京 是否會 下雪
$$Other,我要知道 聚陽 會 漲價 嗎
$$Weather,颱風 預測 幾 號 會 離開 台灣
$$Weather,這 周末 適合 曬棉被 嗎
$$Weather,台北 很熱 嗎
$$Other,劍潭站 至 木柵 捷運站 要 很久 嗎
$$Other,我想查詢 大盤 股價
$$Other,幫我找 先進 光 歷史 股價
$$Weather,今晚 會不會 開始 颳 風
$$Weather,現在 台北 的 紫外線 指數 如何
$$Weather,查詢 現在 的 紫外線 指數
$$Weather,明天 空氣 如何
$$Weather,下午 會 變天 嗎
$$Weather,明天 是 陰天 還是 晴天
$$Weather,明天 是否會 下雨
$$Weather,明天 的 天氣 適 不適合 去 大安森林公園 野餐
$$Other,我想要問 嘉義縣 民族東路 那裡有 什麼地方 好 去
$$Weather,今天 台中 最 冷 幾度
$$Weather,台北 有 在下 雨 嗎
$$Other,台中市 三元路 怎麼走
$$Weather,下禮拜 台北 會不會下雨
$$Weather,明天 天氣 幾度
$$Weather,最近有 沒有 颱風
$$Other,我要找 高雄 美濃 影城 的地圖
$$Other,現在是 在哪 啊
$$Weather,內湖區 明天 會 下雨 嗎
$$Weather,什麼時候 會 放晴 阿
$$Weather,上 一週 桃園 都 在下 雨 嗎
$$Weather,淡水 明天 降雨 機率 多少
$$Weather,今天 的 體感溫度
$$Other,請問 台灣 期貨 指數 今天 漲 多少 了
$$Weather,周末 的 降雨 機率
$$Weather,這週 的 天氣
$$Weather,我需要 先 收 衣服 嗎
$$Weather,這幾天 天氣 怎麼樣
$$Weather,告訴我 今天 的 氣溫 變化
$$Weather,晚上 出門 要不要 帶外套
$$Weather,雨 要 下 到什麼 時候 才會 停
$$Weather,明天 要穿 長袖 還是 短 袖
$$Other,金門縣 好吃的 店 在哪
$$Other,橡膠 股 的 技術 分析
$$Weather,基隆 現在是 冷 還是 熱
$$Other,幫我查 跌停板 股票
$$Other,上櫃股票 分析
$$Other,請幫我查 下午 新上映的 那部 電影
$$Other,請幫我找 安樂 端 那裡有 什麼地方 可以去的
$$Other,國賓戲院 現在有 哪些 片子
$$Weather,這週 末 是 晴天 嗎
$$Weather,下禮拜 有 颱風 要來 嗎
$$Other,時代戲院 有哪些 電影
$$Weather,我想知道 台北市 一週 的 天氣
$$Weather,這次 颱風 的 強度
$$Other,十月 一日 早上 有 推荐 可 看 的 片子 嗎
$$Other,我要找 花 宵 道中 的 演員
$$Other,中興電影城 剛 上 了 哪部 片
$$Other,推薦 一下 北台灣 附近的 平價 串燒
$$Other,怎麼說
$$Weather,今天 陽明山 上 是不是 下雨
