domain_intent	sentence
$$Freeway#FreewayAtoB	桃園到台北有高乘載嗎
$$AskTwTime#AskTWTime	現在幾點鐘了
$$AskCurrentPosition#AskCurrentPosition	而現在位置是
$$Stock#AskStockInfoByName	元大金股價
$$Stock#AskStockInfoBySid	玉山科技5351
$$Movie#AskDateHotMovie	請問最近有什麼好看的電影
$$Movie#AskMovies	華納威秀有放功夫熊貓嗎
$$Stock#AskStockFund	台北股票
$$Exchange#ExchangeRate	台幣兌南非幣匯率
$$Lottery#AskLottery	六合彩開獎
$$Stock#AskStockInfoByName	我要查詢盟立
$$AskCurrentPosition#AskCurrentPosition	而現在的位置
$$UserSayNo#UserSayNo	不是很不對
$$Stock#AskMarket	大盤的
$$UserSayNo#UserSayNo	都不是太好
$$Freeway#ExceptionPlaceAsk	屏東到恆春最快要多久
$$Freeway#FreewayJunctionRule	國道台中交流道有塞車嗎
$$Weather#SpotWeather	合歡山昨天有下雪嗎
$$Movie#AskMovieDetail	惡靈陰室是啥麼幫我查
$$Movie#AskMovies	豐原戲院最近會有什麼電影
$$Stock#AskStockInfoByName	中科台積電
$$Freeway#FreewayJunctionRule	后里交流道有塞車嗎
$$Movie#AskMovieDetail	全面攻佔二的演員有誰
$$Movie#AskTheaters	后里區哪裡有LoveLive可以看
$$Freeway#Freeway	南下國道一號車多嗎
$$Stock#AskStocksByCategory	你的電子股價
$$Stock#AskStockInfoBySid	3060的
$$AskTwTime#AskTWTime	現在時間啦
$$Movie#AskDateHotMovie	有什麼電影好看
$$Stock#AskMarket	我要看股票的資訊
$$Lottery#AskLottery	發票對獎日
$$Weather#WorldWeather	韓國天氣
$$AskTwDate#AskTWDate	過年是什麼時候
$$Stock#CanBuyItByName	台南可以買
$$Stock#AskStockTrendReason	馬上進聯福生會漲的
$$AskTwDate#AskTWDate	今天是什麽特殊的日子嗎
$$Stock#AskCounterExponent	龍安路三年台北證券綜合指數
$$Stock#AskStockFund	看到食物股市的吸收
$$Freeway#FreewayAtoB	台北到高雄的路況是
$$Stock#AskLimitUpAndDown	今日漲停
$$Stock#AskStockTrendReason	包括鈺德3064台微體會漲會有二十八年嗎
$$Weather#SpotWeather	清境農場氣候如何
$$Stock#AskStockInfoByName	今日菱光
$$Exchange#AExchangeB	用台幣換三千日幣是多少
$$Movie#AskToTheater	威尼斯影城的地址
$$Lottery#AskLottery	請問最近的威力彩開幾號
$$Weather#LocalWeather	看彰化今天天氣如何
$$Freeway#GasolinePrice	油價不會調漲嗎
$$Stock#AskStockInfoByName	映興股價今天多少人
$$Movie#AskDateHotMovie	我想查熱門電影
$$Stock#AskLimitUpAndDown	那張股票漲停
$$Freeway#FreewayAtoB	竹北交流道到南崁交通狀況
$$Freeway#FreewayJunctionRule	林口交流道路況
$$Stock#AskMarket	股票和去
$$Stock#AskStocksByCategory	讓電子股懷藝上半年
$$Stock#AskStockTrendReason	友達明天會不會漲
$$Gold#AskGold	請問黃金今天漲還是跌
$$Movie#AskMovies	查桃園電影城時刻表
$$Weather#SpotWeather	合歡山現在溫度
$$Freeway#ExceptionPlaceAsk	板橋到士林
$$THSRC#Search	桃園最早班的高鐵
$$Exchange#ExchangeRate	台幣美金匯率
$$Weather#LocalAirPollution	台南市東區空氣品質
$$Weather#WorldWeather	西雅圖天氣
$$Freeway#FreewayAtoB	我要從高雄至台中要多遠
$$Stock#AskMarket	豐興盤價
$$Weather#TaiwanRegionWeather	北部天氣今天
$$THSRC#Order	我要訂高鐵
$$Weather#SpotWeather	請問一下墾丁天氣如何
$$Exchange#ExchangeRate	台幣兌美金匯率
$$AskCurrentPosition#AskCurrentPosition	請問一下這是哪裡呀
$$Stock#AskStocksByCategory	他現在你會資服股的不妨播放
$$Stock#AskStockFund	台中當股票
$$Stock#CanBuyItByName	股票宏碁可以買嗎
$$UserNeedInstructions#UserNeedInstructions	你在講什麼話
$$Movie#AskMovieDetail	名偵探柯南主題曲誰唱的
$$AskCurrentPosition#AskCurrentPosition	判斷現在位置
$$Movie#AskDateHotMovie	現在的熱門電影有哪些
$$Weather#LocalWeather	台南明天天氣
$$Weather#SpotWeather	阿里山會不會下雨啊
$$Stock#AskStockInfoByName	榮化股價
$$Stock#AskListedExponent	剛上市股票
$$Poi#PoiLocationNearBy	南投日月潭的要怎麼去
$$Movie#AskMovieDetail	進擊的巨人真人版好看嗎
$$Stock#AskStockTrendReason	明天要回廠F-慧洋會不會大漲台南市
$$Stock#AskStocksByCategory	今天電腦股
$$AskTwTime#AskTWTime	想知道現在的時間
$$Railway#Search	查火車時刻表啦
$$Stock#CanBuyItByName	寶雅寶雅這一支股票可以買嗎
$$Railway#Search	查詢區間
$$Stock#AskMarket	股票大盤指數
$$Stock#AskCounterExponent	今天的道瓊工業指數
$$Exchange#ExchangeRate	澳幣匯率
$$Movie#AskDateNewMovie	最近新出的電影
$$Stock#AskStockInfoByName	艾訊
$$Freeway#GasolinePrice	九二無鉛汽油價格
$$Exchange#AExchangeB	台幣兩萬換成日幣
$$Freeway#FreewayJunctionRule	平鎮系統下去的道路路況
$$Freeway#GasolinePrice	下週油價預測
$$Weather#LocalWeather	今天明天天氣好嗎
$$Weather#LocalWeather	通霄站天氣
$$Freeway#Freeway	國一南下塞車嗎
$$Stock#AskMarket	我想要查股票資訊
$$Poi#TaiwanAreaPoi	中部景點
$$Stock#AskStockInfoByName	請問你買進力士利亞
$$UserSayNo#UserSayNo	我不是愛將
$$Stock#AskFutures	台灣期貨NOVA希望妳可以
$$Stock#AskStockInfoByName	2011三商行
$$Weather#SpotWeather	台灣合歡山天氣
$$TPEMRT#TPEMRTAtoB	捷運景美到南港站要多久
$$AskCurrentPosition#AskCurrentPosition	現在的位置在哪兒
$$Stock#AskCounterExponent	今天股市指數
$$Lottery#AskLottery	一百零五年三月份四月份統一發票中獎號碼
$$Movie#AskTheaters	基隆還有演LoveLive嗎
$$AskTwDate#AskTWDate	請問中秋節幾號
$$Stock#AskMyStock	我的股票資訊
$$Movie#AskMovieDetail	名偵探柯南向日葵的業火好看嗎
$$AskCurrentPosition#AskCurrentPosition	那我的位置
$$Freeway#ExceptionPlaceAsk	新莊到台北
$$Movie#AskDateHotMovie	今天的熱門電影是什麼
$$Weather#TaiwanRegionWeather	北部的天氣
$$Freeway#GasolinePrice	油價查詢
$$UserNeedInstructions#UserNeedInstructions	你有什麼功能
$$Exchange#AExchangeB	四億英鎊換新台幣
$$UserSayNo#UserSayNo	不是說不用了
$$UserNeedInstructions#UserNeedInstructions	不知道要跟你說什麼
$$AskCurrentPosition#AskCurrentPosition	還有我在哪裡
$$Stock#AskStockTrendReason	萬泰科會不會跌牢牢記我了啊
$$Stock#AskLimitUpAndDown	一起去開漲停
$$Railway#Search	查詢大清到南投集集的台鐵火車
$$Freeway#FreewayJunctionRule	目前國道一號南屯交流道的狀況
$$AskTwDate#AskTWDate	過年是哪一天了
$$Movie#AskTheaters	台南哪邊有播放絕地救援
$$Stock#AskListedExponent	新上市的股票三
$$Stock#AskStocksByCategory	培德工家你知不知道通路股
$$Stock#AskStocksByCategory	中國鋼鐵股票會
$$AskCurrentPosition#AskCurrentPosition	我人現在的位置在哪裡
$$Stock#AskStocksByCategory	晶元光電股價
$$Poi#PoiLocationNearBy	五王國小他是在哪啊
$$Movie#AskMovies	日新威秀電影時刻表
$$Poi#PoiAddr	導航到台北市泉源路的佛教文物中心
$$Gold#AskGold	我想知道黃金牌價
$$Movie#AskMovieDetail	名偵探柯南劇場版有包場活動嗎
$$Movie#AskDateNewMovie	最近有播放什麼電影
$$Freeway#GasolinePrice	下禮拜的油價
$$THSRC#Search	高鐵訂票查詢
$$UserSayNo#UserSayNo	什麼這不是
$$Stock#AskListedExponent	你今天上市股票
$$Weather#SpotWeather	今天溪頭的天氣
$$Weather#LocalWeather	請問一下明天的天氣是
$$Stock#AskStockInfoByName	明明中鋼股票
$$Freeway#Freeway	國道十號有在管制嗎
$$Stock#AskStockInfoBySid	2013第一
$$Freeway#Freeway	國三狀況
$$Weather#LocalAirPollution	最近空氣品質怎麼樣
$$Freeway#GasolinePrice	這一款汽油售價多少
$$Movie#AskDateHotMovie	今天有什麽熱門電影
$$Movie#AskToTheater	美麗華的電影院在幾樓
$$AskCurrentPosition#AskCurrentPosition	現在位置
$$Stock#AskFutures	期貨
$$Stock#AskFutures	台指期貨
$$Freeway#Freeway	國道三號南下塞車嗎
$$Stock#AskStockTrendReason	剛進台翰會跌
$$Lottery#AskLottery	晚間開獎號碼怎麼
$$UserNeedInstructions#UserNeedInstructions	那你會什麼
$$Gold#AskGold	今日黃金價格
